"customer","payment_amount","dvd_rental_quantity"
"Marion","302.34","66"
"Tracy","245.47","53"
"Jamie","237.50","50"
"Jessie","214.46","54"
"Eleanor","211.55","45"
"Karl","208.58","42"
"Leslie","207.52","48"
"Rhonda","191.62","38"
"Clara","189.60","40"
"Willie","186.53","47"
"Terry","185.55","45"
"Tommy","183.63","37"
"Kelly","181.56","44"
"Ana","167.67","33"
"Curtis","167.62","38"
"Marcia","166.61","39"
"Mike","162.67","33"
"Arnold","161.68","32"
"Wesley","158.65","35"
"Gordon","157.69","31"
"Louis","156.66","34"
"Lena","154.70","30"
"Tim","154.66","34"
"Warren","152.69","31"
"Steve","152.68","32"
"Brittany","151.73","27"
"Guy","151.69","31"
"June","151.68","32"
"Neil","149.69","31"
"Tammy","149.61","39"
"Tonya","147.71","29"
"Jacqueline","146.68","32"
"Michelle","146.68","32"
"Jessica","146.68","32"
"Stacey","146.67","33"
"Arthur","145.70","30"
"Brandon","145.64","36"
"Diane","144.70","30"
"Ralph","144.68","32"
"Roger","144.66","34"
"Duane","143.70","30"
"Alex","143.68","32"
"Ryan","142.70","30"
"Shawn","142.69","31"
"Margie","142.67","33"
"Marsha","142.66","34"
"Debra","141.71","29"
"Lori","141.69","31"
"Nicholas","140.69","31"
"Roy","139.72","28"
"Harry","139.69","31"
"Sherry","139.69","31"
"Janice","139.67","33"
"Tanya","138.69","31"
"Angela","138.65","35"
"Wanda","137.72","28"
"Marilyn","137.70","30"
"Alexander","137.67","33"
"Jimmie","135.72","28"
"Ramon","135.70","30"
"Morris","135.68","32"
"Kent","134.73","27"
"Alvin","134.72","28"
"Zachary","134.71","29"
"Ella","134.70","30"
"Sylvia","134.70","30"
"Rosemary","134.69","31"
"Helen","134.68","32"
"Elizabeth","134.65","35"
"Joe","133.72","28"
"Stanley","133.71","29"
"Bernice","133.70","30"
"Sue","133.68","32"
"Jennie","132.72","28"
"Russell","132.65","35"
"Greg","131.74","26"
"Karen","131.73","27"
"Catherine","131.69","31"
"Ethel","131.69","31"
"Linda","130.76","24"
"Priscilla","130.72","28"
"Maria","130.72","28"
"Brett","130.70","30"
"Casey","130.68","32"
"Harold","130.68","32"
"Rosa","129.72","28"
"Jordan","129.71","29"
"Crystal","129.70","30"
"Regina","129.68","32"
"Roberto","128.73","27"
"Gladys","128.71","29"
"Glenda","128.71","29"
"Sara","128.70","30"
"Alma","128.69","31"
"Miguel","127.73","27"
"Bessie","127.73","27"
"Debbie","127.69","31"
"Mitchell","127.69","31"
"Martha","127.66","34"
"Jeanne","126.74","26"
"Troy","126.73","27"
"Terri","126.73","27"
"Grace","126.70","30"
"Maurice","125.74","26"
"Bradley","125.74","26"
"Daisy","125.72","28"
"Joanne","125.68","32"
"Justin","125.67","33"
"Janet","124.74","26"
"Julia","124.71","29"
"Elsie","124.68","32"
"Carrie","124.66","34"
"John","123.74","26"
"Patricia","123.74","26"
"Billy","123.71","29"
"Shirley","123.70","30"
"Alice","123.70","30"
"Melissa","123.66","34"
"Tina","122.74","26"
"Eddie","122.74","26"
"Javier","122.72","28"
"Cathy","122.71","29"
"Viola","122.70","30"
"Jorge","122.69","31"
"Milton","121.77","23"
"Gilbert","121.73","27"
"Lynn","121.73","27"
"Barry","121.70","30"
"Jim","121.70","30"
"Nathan","121.69","31"
"Rick","120.75","25"
"Dana","120.74","26"
"Alfred","120.74","26"
"Marc","120.71","29"
"Thelma","120.70","30"
"Cheryl","119.76","24"
"Alan","119.75","25"
"Hector","119.74","26"
"Charles","119.72","28"
"Gertrude","119.72","28"
"Kathryn","118.76","24"
"Stephanie","118.75","25"
"Jaime","118.73","27"
"Virginia","118.70","30"
"Marjorie","118.70","30"
"Joy","118.69","31"
"Miriam","117.77","23"
"Marshall","117.77","23"
"Perry","117.76","24"
"Lee","117.75","25"
"Nathaniel","117.75","25"
"Byron","117.72","28"
"Joyce","116.76","24"
"Valerie","116.75","25"
"Hilda","116.73","27"
"Naomi","116.73","27"
"Kathy","116.72","28"
"Gerald","116.71","29"
"Cecil","115.74","26"
"Gloria","115.74","26"
"Erik","115.72","28"
"Philip","115.71","29"
"Veronica","115.70","30"
"Dianne","114.76","24"
"Teresa","114.74","26"
"Patsy","114.73","27"
"Salvador","114.73","27"
"Craig","114.72","28"
"Florence","114.72","28"
"Mary","114.70","30"
"Don","113.77","23"
"Christopher","113.75","25"
"Michael","113.74","26"
"Nora","113.74","26"
"Dave","113.73","27"
"Amber","113.73","27"
"Jeffery","113.72","28"
"George","113.71","29"
"Christy","113.70","30"
"Tyrone","112.76","24"
"Andy","112.76","24"
"Ashley","112.75","25"
"Amy","112.74","26"
"Monica","112.73","27"
"Clyde","112.72","28"
"Calvin","111.77","23"
"Arlene","111.76","24"
